product_id,product_name,category,brand,unit_cost,unit_price,supplier_id,lead_time_days,reorder_point,safety_stock,created_at
PRD00040,Frozen Vegetables Box,Frozen Foods,FamilyChoice,410.7,549.58,SUP0398,27,213,91,2022-05-08
PRD00041,Lemonade 100g,Beverages,UrbanFresh,422.14,495.31,SUP0080,10,246,18,2025-09-13
PRD00042,Storage Box 1L,Household,GreenHarvest,448.14,521.39,SUP0039,2,135,39,2021-01-21
PRD00043,Breakfast Cereal Box,Packaged Foods,FamilyChoice,128.12,165.66,SUP0189,6,42,10,2023-12-28
PRD00044,Trail Mix 1kg,Snacks,NaturePlus,397.07,464.46,SUP0427,25,241,31,2024-12-12
PRD00045,Chocolate Bar 250ml,Snacks,PureLife,92.57,115.73,SUP0641,20,136,41,2023-11-20
PRD00046,Cookies 750ml,Snacks,FamilyChoice,190.29,262.83,SUP0577,4,65,40,2022-05-30
PRD00047,Hair Oil 250ml,Personal Care,GreenHarvest,64.15,88.19,SUP0772,4,279,37,2024-01-14
PRD00048,Potato Chips 1L,Snacks,NaturePlus,208.51,326.58,SUP0420,20,277,55,2022-02-08
PRD00049,Cream 250ml,Dairy,EcoLiving,327.2,472.46,SUP0847,22,274,63,2025-08-11
PRD00050,Milk 1L,Dairy,FreshMart,413.67,554.0,SUP0281,8,34,21,2023-05-21
PRD00051,Yogurt 750g,Dairy,MegaStore,320.02,470.01,SUP0620,26,150,25,2022-01-20
PRD00052,Rice 750g,Packaged Foods,PrimeFoods,132.2,202.78,SUP0498,20,126,63,2024-02-23
PRD00053,Apple Juice Box,Beverages,PureLife,31.22,46.08,SUP0862,30,161,19,2023-08-27
PRD00054,Peanuts 500g,Snacks,MegaStore,62.79,85.83,SUP0230,9,223,93,2022-10-07
PRD00055,Crackers 200g,Snacks,PureHarvest,245.98,290.78,SUP0437,13,64,88,2022-09-09
PRD00056,Frozen Fish 500g,Frozen Foods,FreshMart,173.0,202.73,SUP0391,8,196,60,2022-03-29
PRD00057,Trash Bags Box,Household,EcoLiving,379.13,573.89,SUP0607,10,102,62,2022-01-27
PRD00058,Spinach 250ml,Fruits & Vegetables,UrbanFresh,381.34,591.14,SUP0525,23,272,31,2022-06-27
PRD00059,Orange 250ml,Fruits & Vegetables,PureLife,461.99,674.64,SUP0390,13,155,24,2022-05-06
PRD00060,Frozen Fries 750g,Frozen Foods,PrimeFoods,161.76,203.68,SUP0372,14,276,28,2021-12-11
PRD00061,Potato 1L,Fruits & Vegetables,GoldenHarvest,379.48,459.94,SUP0445,19,108,31,2022-01-06
PRD00062,Yogurt 500ml,Dairy,FreshMart,50.6,65.7,SUP0373,8,38,72,2025-03-31
PRD00063,Light Bulb 1kg,Household,FamilyChoice,50.81,62.61,SUP0425,12,130,27,2024-04-07
PRD00064,Fabric Softener 200g,Cleaning Supplies,PrimeFoods,473.65,737.82,SUP0217,23,268,5,2024-06-29
PRD00065,Frozen Vegetables 750g,Frozen Foods,FamilyChoice,172.79,220.44,SUP0010,8,105,42,2022-09-03
PRD00066,Kitchen Towels 250ml,Household,QuickBite,490.11,571.13,SUP0947,2,187,93,2021-11-28
PRD00067,Nachos 1L,Snacks,UrbanFresh,236.95,274.85,SUP0025,21,67,7,2022-05-18
PRD00068,Cream 250g,Dairy,FreshMart,240.11,295.67,SUP0837,14,241,59,2025-01-14
PRD00069,Dishwashing Liquid 750g,Cleaning Supplies,QuickBite,115.34,137.48,SUP0672,4,121,98,2024-03-31
PRD00070,Orange 100g,Fruits & Vegetables,NaturePlus,438.73,681.17,SUP0182,4,210,38,2023-04-12
PRD00071,Muffin 100g,Bakery,PremiumSelect,476.36,668.77,SUP0773,28,300,75,2023-05-12
PRD00072,Coffee Box,Beverages,FreshMart,447.38,532.24,SUP0436,30,77,94,2024-09-06
PRD00073,Soft Drink 250g,Beverages,PureLife,132.71,175.55,SUP0749,30,276,11,2021-05-25
PRD00074,Hand Wash 250ml,Personal Care,HomeEssentials,313.84,476.39,SUP0908,29,87,31,2023-01-20
PRD00075,Cucumber 500ml,Fruits & Vegetables,EcoLiving,354.73,502.06,SUP0010,2,52,58,2022-10-13
PRD00076,Frozen Chicken 1kg,Frozen Foods,ValuePlus,447.4,691.45,SUP0995,9,221,60,2022-05-28
PRD00077,Lemonade 750g,Beverages,ValuePlus,250.08,345.78,SUP0285,25,99,54,2025-11-26
PRD00078,Frozen Nuggets 750g,Frozen Foods,FreshMart,136.18,172.94,SUP0851,13,244,34,2024-04-12
PRD00079,Sugar 100g,Packaged Foods,MegaStore,34.35,43.16,SUP0356,10,271,63,2025-04-22
PRD00080,Bread 750g,Bakery,SuperFresh,228.95,280.95,SUP0577,2,88,64,2025-12-12
PRD00081,Frozen Nuggets 500ml,Frozen Foods,PureHarvest,292.69,432.9,SUP0011,13,286,47,2024-12-18
PRD00082,Frozen Pizza 100g,Frozen Foods,HealthySelect,449.88,519.01,SUP0494,20,300,11,2022-04-04
PRD00083,Cucumber 1L,Fruits & Vegetables,EcoLiving,496.35,680.0,SUP0885,22,57,82,2023-04-26
PRD00084,Salt 500ml,Packaged Foods,SmartChoice,253.54,348.9,SUP0232,20,83,49,2025-12-15
PRD00085,Soft Drink 750g,Beverages,PureLife,299.66,423.92,SUP0766,10,162,63,2024-06-23
PRD00086,Coffee Pack,Beverages,MegaStore,79.48,114.16,SUP0634,2,81,88,2023-06-24
PRD00087,Cream 750g,Dairy,FreshMart,377.17,455.02,SUP0311,11,75,20,2022-10-19
PRD00088,Frozen Nuggets Pack,Frozen Foods,QuickBite,126.36,168.69,SUP0278,11,179,93,2022-01-21
PRD00089,Carrot 1kg,Fruits & Vegetables,FreshMart,137.72,191.1,SUP0536,30,102,47,2021-12-15
PRD00090,Hair Oil 200g,Personal Care,HomeEssentials,491.36,780.62,SUP0994,19,290,88,2021-09-11
PRD00091,Coffee Pack,Beverages,PrimeFoods,167.9,264.69,SUP0578,16,69,75,2023-06-11
PRD00092,Dishwashing Liquid Pack,Cleaning Supplies,MegaStore,184.92,277.34,SUP0217,19,111,83,2025-09-08
PRD00093,Lemonade 750g,Beverages,FamilyChoice,236.02,317.75,SUP0881,20,150,92,2024-12-14
PRD00094,Flavored Milk 250ml,Dairy,HomeEssentials,236.65,292.39,SUP0359,21,138,58,2023-04-17
PRD00095,Crackers 500g,Snacks,FreshMart,382.83,610.51,SUP0921,13,159,52,2023-03-11
PRD00096,Paneer 1L,Dairy,EcoLiving,267.52,353.04,SUP0903,10,280,22,2023-01-19
PRD00097,Body Lotion 100g,Personal Care,PureHarvest,168.58,266.97,SUP0397,23,117,31,2024-09-30
PRD00098,Nachos 200g,Snacks,PrimeFoods,131.65,175.02,SUP0562,25,156,76,2023-01-17
PRD00099,Body Lotion 100g,Personal Care,HappyHome,328.09,465.67,SUP0352,30,130,70,2022-05-04
PRD00100,Frozen Dessert 500g,Frozen Foods,SmartChoice,270.28,346.05,SUP0123,28,78,94,2021-08-06
PRD00101,Cleaning Wipes Pack,Cleaning Supplies,GreenHarvest,253.6,365.04,SUP0910,24,64,21,2022-06-26
PRD00102,Frozen Pizza 200g,Frozen Foods,GoldenHarvest,169.36,265.12,SUP0620,22,75,95,2024-10-16
PRD00103,Trail Mix 750ml,Snacks,MegaStore,75.11,97.14,SUP0936,10,39,85,2023-01-11
PRD00104,Hair Oil 500g,Personal Care,UrbanFresh,226.67,335.75,SUP0886,30,182,59,2024-02-23
PRD00105,Paper Napkins 250g,Household,FamilyChoice,193.66,264.53,SUP0745,2,244,70,2024-02-23
PRD00106,Salt 250ml,Packaged Foods,PremiumSelect,415.42,652.62,SUP0369,7,31,93,2021-02-19
PRD00107,Surface Cleaner 250g,Cleaning Supplies,MegaStore,48.74,71.93,SUP0134,19,142,75,2021-05-04
PRD00108,Crackers 1kg,Snacks,GreenHarvest,262.54,407.91,SUP0524,7,254,99,2022-02-22
PRD00109,Carrot 750ml,Fruits & Vegetables,UrbanFresh,397.25,492.08,SUP0161,28,114,92,2022-08-26
PRD00110,Apple 250g,Fruits & Vegetables,SmartChoice,462.48,655.63,SUP0110,19,98,42,2025-08-16
PRD00111,Nachos 100g,Snacks,MegaStore,43.59,52.67,SUP0657,6,176,60,2025-06-23
PRD00112,Butter Pack,Dairy,PrimeFoods,94.25,128.1,SUP0041,28,235,50,2022-07-25
PRD00113,Pastry Box,Bakery,PureLife,211.37,278.33,SUP0428,28,165,22,2024-03-04
PRD00114,Apple Juice 100g,Beverages,PureLife,378.67,579.73,SUP0364,28,79,41,2021-09-27
PRD00115,Toothpaste 1L,Personal Care,SmartChoice,421.26,560.9,SUP0850,4,147,91,2023-03-21
PRD00116,Dishwashing Liquid 500ml,Cleaning Supplies,PremiumSelect,240.62,333.49,SUP0518,30,269,76,2023-07-15
PRD00117,Floor Cleaner 250g,Cleaning Supplies,PureHarvest,494.35,756.86,SUP0354,19,175,27,2025-06-01
PRD00118,Disinfectant Spray Box,Cleaning Supplies,FamilyChoice,283.9,431.05,SUP0443,5,71,58,2023-06-07
PRD00119,Conditioner Box,Personal Care,SmartChoice,278.92,432.13,SUP0514,27,27,97,2021-06-06
PRD00120,Yogurt 500g,Dairy,GreenHarvest,387.87,450.92,SUP0173,19,190,90,2023-01-27
PRD00121,Nachos 750ml,Snacks,DailyChoice,298.11,458.05,SUP0231,27,178,45,2024-01-17
PRD00122,Cookies 1L,Snacks,PureLife,160.13,237.89,SUP0078,13,201,36,2025-06-10
PRD00123,Hair Oil 1kg,Personal Care,NaturePlus,201.99,281.85,SUP0576,21,124,100,2022-10-16
PRD00124,Pastry 250ml,Bakery,PureLife,304.41,365.35,SUP0513,20,272,48,2023-08-07
PRD00125,Brownie 1L,Bakery,HealthySelect,328.88,511.35,SUP0417,2,165,89,2021-12-18
PRD00126,Carrot 250ml,Fruits & Vegetables,NaturePlus,182.01,261.94,SUP0606,27,280,91,2021-09-09
PRD00127,Tomato 250g,Fruits & Vegetables,PremiumSelect,414.24,492.82,SUP0714,6,262,67,2023-11-29
PRD00128,Soft Drink 1kg,Beverages,HealthySelect,241.45,366.76,SUP0304,27,299,9,2025-04-29
PRD00129,Toilet Cleaner Box,Cleaning Supplies,QuickBite,228.95,292.44,SUP0242,8,105,96,2025-11-09
PRD00130,Chocolate Bar 1L,Snacks,PureHarvest,84.95,110.82,SUP0205,8,72,17,2024-05-25
PRD00131,Batteries 1L,Household,MegaStore,493.18,568.69,SUP0830,25,221,52,2024-04-28
PRD00132,Apple Juice 500g,Beverages,HealthySelect,463.43,642.31,SUP0477,25,91,95,2023-12-20
PRD00133,Shampoo 750ml,Personal Care,PureLife,268.17,318.76,SUP0370,22,68,47,2023-10-20
PRD00134,Green Tea 250g,Beverages,PrimeFoods,186.18,288.36,SUP0885,19,269,43,2024-02-22
PRD00135,Brownie 1kg,Bakery,DailyChoice,450.46,709.68,SUP0331,30,58,100,2024-03-17
PRD00136,Soup Mix 500ml,Packaged Foods,HealthySelect,41.74,62.08,SUP0826,28,267,45,2025-03-10
PRD00137,Frozen Corn 200g,Frozen Foods,MegaStore,391.24,597.72,SUP0543,14,71,100,2022-08-15
PRD00138,Bun Pack,Bakery,UrbanFresh,308.21,424.24,SUP0283,26,31,98,2024-03-17
PRD00139,Frozen Corn 500ml,Frozen Foods,EcoLiving,199.87,280.29,SUP0903,30,209,45,2025-11-12
PRD00140,Paneer 750ml,Dairy,DailyChoice,450.54,550.49,SUP0418,2,74,62,2021-06-11
PRD00141,Potato 250ml,Fruits & Vegetables,PureHarvest,461.88,645.52,SUP0917,28,180,65,2023-09-30
PRD00142,Trail Mix 250ml,Snacks,PremiumSelect,44.89,51.73,SUP0797,17,27,91,2022-03-19
PRD00143,Potato 750ml,Fruits & Vegetables,HealthySelect,121.24,154.34,SUP0043,17,206,80,2021-05-02
PRD00144,Soap 200g,Personal Care,FamilyChoice,297.47,411.17,SUP0950,15,231,67,2022-11-13
PRD00145,Salt 200g,Packaged Foods,QuickBite,289.38,405.38,SUP0357,29,116,96,2021-09-16
PRD00146,Sugar 200g,Packaged Foods,SmartChoice,265.57,351.78,SUP0855,11,185,50,2023-06-29
PRD00147,Pasta 200g,Packaged Foods,SmartChoice,208.21,298.2,SUP0006,8,72,15,2024-01-19
PRD00148,Surface Cleaner 500ml,Cleaning Supplies,HappyHome,257.81,328.58,SUP0606,17,109,55,2022-11-21
PRD00149,Chocolate Bar 750ml,Snacks,HomeEssentials,30.85,45.03,SUP0996,26,275,86,2025-01-15
PRD00150,Cucumber 100g,Fruits & Vegetables,FreshMart,42.27,58.51,SUP0275,17,258,72,2022-07-23
PRD00151,Conditioner 500g,Personal Care,SmartChoice,465.31,555.71,SUP0720,23,133,58,2021-12-13
PRD00152,Breakfast Cereal Box,Packaged Foods,PrimeFoods,35.15,45.76,SUP0765,15,294,73,2021-06-18
PRD00153,Cleaning Wipes 1L,Cleaning Supplies,GoldenHarvest,107.65,167.16,SUP0500,16,86,19,2022-02-09
PRD00154,Bun 500g,Bakery,MegaStore,496.32,726.01,SUP0315,30,192,26,2025-04-16
PRD00155,Cake 1L,Bakery,EcoLiving,204.06,248.13,SUP0190,21,192,7,2025-10-18
PRD00156,Soap 1kg,Personal Care,QuickBite,226.45,345.74,SUP0447,10,293,42,2023-12-28
PRD00157,Carrot 750g,Fruits & Vegetables,PureLife,265.16,370.67,SUP0364,16,259,83,2025-08-23
PRD00158,Mango 250g,Fruits & Vegetables,EcoLiving,127.41,198.14,SUP0975,6,94,45,2023-04-04
PRD00159,Rice 750ml,Packaged Foods,FamilyChoice,305.15,472.23,SUP0785,15,194,26,2021-05-08
PRD00160,Batteries 1L,Household,ValuePlus,218.49,303.15,SUP0071,18,111,59,2025-04-19
PRD00161,Bun 750ml,Bakery,GreenHarvest,229.38,339.65,SUP0901,25,158,89,2025-04-23
PRD00162,Cleaning Wipes 200g,Cleaning Supplies,GoldenHarvest,360.25,447.31,SUP0874,8,257,75,2021-02-09
PRD00163,Coffee 1kg,Beverages,DailyChoice,253.98,336.26,SUP0908,28,209,38,2024-08-18
PRD00164,Apple Juice Pack,Beverages,PrimeFoods,178.0,262.39,SUP0527,24,51,42,2025-09-18
PRD00165,Milk Shake 250g,Beverages,HappyHome,410.91,578.41,SUP0179,9,153,99,2021-02-20
PRD00166,Frozen Pizza Box,Frozen Foods,PureHarvest,35.61,42.89,SUP0130,28,256,14,2024-01-22
PRD00167,Soap 750g,Personal Care,PureLife,410.76,529.05,SUP0509,16,136,5,2023-09-01
PRD00168,Brownie 500g,Bakery,HomeEssentials,104.48,150.42,SUP0386,24,138,87,2023-11-27
PRD00169,Moisturizer Box,Personal Care,PureHarvest,302.94,424.57,SUP0864,29,284,82,2021-12-15
PRD00170,Flour 1L,Packaged Foods,SuperFresh,97.66,127.59,SUP0476,19,67,90,2022-02-02
PRD00171,Cupcake 250g,Bakery,GoldenHarvest,441.97,684.58,SUP0223,14,293,28,2025-04-03
PRD00172,Body Lotion Pack,Personal Care,HomeEssentials,34.74,46.54,SUP0799,4,179,82,2022-02-20
PRD00173,Chocolate Bar 500ml,Snacks,NaturePlus,279.77,410.26,SUP0215,18,241,78,2024-01-07
PRD00174,Paneer Box,Dairy,FamilyChoice,483.7,741.29,SUP0721,29,130,94,2024-06-20
PRD00175,Moisturizer Pack,Personal Care,FamilyChoice,304.91,478.45,SUP0037,16,291,64,2024-03-28
PRD00176,Laundry Detergent 500g,Cleaning Supplies,UrbanFresh,163.41,229.64,SUP0539,5,105,6,2024-04-16
PRD00177,Tissue Paper Pack,Household,FreshMart,176.84,220.7,SUP0134,22,47,26,2024-09-13
PRD00178,Potato 250ml,Fruits & Vegetables,NaturePlus,277.78,369.95,SUP0328,17,231,79,2022-04-03
PRD00179,Face Wash 750ml,Personal Care,PureHarvest,142.01,226.34,SUP0435,12,67,10,2023-03-28
PRD00180,Storage Box 1L,Household,PrimeFoods,57.33,76.96,SUP0829,14,200,21,2025-09-03
PRD00181,Black Tea 500g,Beverages,NaturePlus,237.28,284.96,SUP0256,12,185,63,2024-10-19
PRD00182,Frozen Nuggets 100g,Frozen Foods,SuperFresh,231.91,282.59,SUP0235,5,86,38,2021-02-09
PRD00183,Popcorn 500g,Snacks,HomeEssentials,320.97,451.06,SUP0049,13,150,77,2022-10-04
PRD00184,Greek Yogurt 100g,Dairy,SuperFresh,498.17,718.12,SUP0656,11,133,55,2025-07-22
PRD00185,Nachos 500ml,Snacks,PremiumSelect,456.2,674.13,SUP0564,9,34,89,2021-10-08
PRD00186,Donut 250ml,Bakery,UrbanFresh,399.91,474.44,SUP0578,14,39,88,2023-06-18
PRD00187,Apple 500g,Fruits & Vegetables,PremiumSelect,454.58,529.88,SUP0737,14,205,82,2022-02-18
PRD00188,Yogurt Box,Dairy,MegaStore,58.91,86.39,SUP0072,5,34,62,2025-02-05
PRD00189,Shampoo 1kg,Personal Care,MegaStore,487.56,628.15,SUP0164,12,175,67,2024-07-14
PRD00190,Onion 250g,Fruits & Vegetables,PureHarvest,307.03,430.38,SUP0326,7,224,27,2023-06-01
PRD00191,Breakfast Cereal 750ml,Packaged Foods,HealthySelect,308.2,484.8,SUP0685,13,109,97,2022-08-25
PRD00192,Milk Shake 250g,Beverages,PremiumSelect,42.88,64.0,SUP0808,24,142,22,2025-05-27
PRD00193,Cake 1L,Bakery,FreshMart,123.29,181.58,SUP0170,6,237,27,2025-01-05
PRD00194,Toilet Cleaner 1kg,Cleaning Supplies,HomeEssentials,158.11,239.45,SUP0602,4,161,53,2025-08-31
PRD00195,Cucumber 500g,Fruits & Vegetables,NaturePlus,138.24,178.16,SUP0977,5,74,32,2021-02-05
PRD00196,Aluminum Foil 250g,Household,NaturePlus,455.92,614.32,SUP0851,7,58,26,2024-06-03
PRD00197,Cookies Pack,Snacks,MegaStore,170.88,253.86,SUP0774,24,164,28,2024-11-26
PRD00198,Frozen Vegetables 100g,Frozen Foods,NaturePlus,342.11,428.37,SUP0133,23,255,56,2023-12-09
PRD00199,Chocolate Bar 1kg,Snacks,HomeEssentials,358.22,445.36,SUP0387,26,120,29,2025-04-27
PRD00200,Crackers 500ml,Snacks,HappyHome,363.13,499.11,SUP0749,16,130,96,2025-07-17
PRD00201,Hair Oil 250ml,Personal Care,SuperFresh,267.44,394.17,SUP0441,28,115,65,2022-05-13
PRD00202,Soup Mix 200g,Packaged Foods,EcoLiving,85.79,107.96,SUP0393,19,93,34,2021-06-21
PRD00203,Spices 1kg,Packaged Foods,UrbanFresh,135.82,185.53,SUP0805,20,192,59,2025-06-09
PRD00204,Chocolate Bar 750ml,Snacks,UrbanFresh,367.79,526.53,SUP0193,25,93,33,2021-09-15
PRD00205,Moisturizer 1kg,Personal Care,HealthySelect,336.3,498.58,SUP0124,6,210,55,2025-05-20
PRD00206,Paper Napkins 1L,Household,GreenHarvest,274.38,334.4,SUP0317,30,137,46,2023-04-30
PRD00207,Bleach Box,Cleaning Supplies,PureLife,123.76,173.45,SUP0120,5,252,10,2023-03-29
PRD00208,Sugar 200g,Packaged Foods,DailyChoice,73.12,86.11,SUP0576,10,134,23,2023-12-24
PRD00209,Frozen Corn 500g,Frozen Foods,NaturePlus,433.82,525.35,SUP0847,14,125,18,2025-05-19
PRD00210,Lemonade 500g,Beverages,ValuePlus,112.12,168.21,SUP0744,27,191,82,2021-06-05
PRD00211,Brownie 250ml,Bakery,MegaStore,20.69,25.27,SUP0496,26,22,69,2024-02-18
PRD00212,Toothpaste 750ml,Personal Care,HealthySelect,31.26,43.15,SUP0709,13,176,99,2024-02-03
PRD00213,Spinach Box,Fruits & Vegetables,PremiumSelect,259.14,347.48,SUP0274,3,209,86,2022-09-12
PRD00214,Conditioner Pack,Personal Care,FamilyChoice,53.06,81.99,SUP0550,6,246,79,2025-06-16
PRD00215,Batteries 1kg,Household,HomeEssentials,220.69,334.02,SUP0655,15,142,19,2024-10-16
PRD00216,Yogurt 500g,Dairy,PremiumSelect,156.77,209.14,SUP0217,20,136,72,2023-02-24
PRD00217,Crackers 250g,Snacks,SuperFresh,490.94,761.02,SUP0138,20,156,98,2023-06-10
PRD00218,Disinfectant Spray 1kg,Cleaning Supplies,MegaStore,269.62,378.0,SUP0218,15,214,96,2022-02-23
PRD00219,Frozen Nuggets 1L,Frozen Foods,GreenHarvest,419.36,599.05,SUP0030,7,173,58,2021-08-03
PRD00220,Frozen Nuggets 250ml,Frozen Foods,FamilyChoice,196.96,253.75,SUP0684,17,194,74,2024-06-07
PRD00221,Nachos 200g,Snacks,ValuePlus,264.95,347.55,SUP0595,25,104,9,2022-03-28
PRD00222,Milk Shake 200g,Beverages,QuickBite,297.63,463.29,SUP0138,10,113,11,2023-12-21
PRD00223,Orange Juice 100g,Beverages,PureHarvest,24.58,37.14,SUP0744,24,229,70,2023-02-17
PRD00224,Apple 200g,Fruits & Vegetables,GoldenHarvest,145.67,200.92,SUP0733,8,142,99,2025-08-31
PRD00225,Muffin 500g,Bakery,PremiumSelect,467.55,554.73,SUP0251,14,231,69,2024-09-04
PRD00226,Frozen Fish 500ml,Frozen Foods,HappyHome,424.85,643.12,SUP0116,16,269,57,2024-12-05
PRD00227,Pretzels 250g,Snacks,HealthySelect,81.01,127.55,SUP0271,21,286,42,2022-07-13
PRD00228,Croissant 1kg,Bakery,HappyHome,259.12,349.33,SUP0276,7,211,62,2024-09-27
PRD00229,Bleach 250ml,Cleaning Supplies,GoldenHarvest,337.3,425.15,SUP0131,13,115,27,2022-05-14
PRD00230,Orange 250g,Fruits & Vegetables,NaturePlus,338.68,523.03,SUP0409,6,238,28,2025-12-26
PRD00231,Frozen Nuggets 250g,Frozen Foods,MegaStore,323.47,447.25,SUP0112,18,261,74,2021-03-22
PRD00232,Orange Juice 1kg,Beverages,FamilyChoice,242.57,343.88,SUP0205,13,198,52,2025-10-05
PRD00233,Pasta 750g,Packaged Foods,SmartChoice,431.88,560.25,SUP0672,8,186,6,2021-10-26
PRD00234,Crackers 750ml,Snacks,SmartChoice,119.41,146.88,SUP0527,26,279,60,2022-08-17
PRD00235,Pastry 750ml,Bakery,ValuePlus,286.53,419.69,SUP0205,2,50,52,2024-03-01
PRD00236,Pastry 200g,Bakery,FamilyChoice,180.4,224.35,SUP0594,4,146,84,2022-05-11
PRD00237,Frozen Vegetables 1L,Frozen Foods,HealthySelect,136.76,192.9,SUP0535,3,64,18,2024-03-06
PRD00238,Frozen Fish 500ml,Frozen Foods,FreshMart,141.47,193.52,SUP0611,20,280,45,2023-05-13
PRD00239,Body Lotion 250ml,Personal Care,MegaStore,263.07,404.51,SUP0766,26,114,71,2023-09-07
PRD00240,Cream 500ml,Dairy,FreshMart,163.31,252.74,SUP0772,4,82,26,2024-04-21
PRD00241,Soup Mix 1kg,Packaged Foods,PureHarvest,85.08,128.57,SUP0029,12,269,80,2021-12-28
PRD00242,Orange 1kg,Fruits & Vegetables,UrbanFresh,298.21,371.77,SUP0770,8,295,63,2022-10-12
PRD00243,Face Wash 200g,Personal Care,UrbanFresh,200.43,317.88,SUP0907,18,259,9,2025-05-01
PRD00244,Batteries 1L,Household,EcoLiving,63.81,77.67,SUP0311,8,293,43,2022-11-17
PRD00245,Air Freshener Box,Household,UrbanFresh,142.14,188.56,SUP0715,8,223,91,2021-04-19
PRD00246,Cheese 100g,Dairy,EcoLiving,429.92,608.79,SUP0335,29,42,48,2024-03-02
